"Country","Year","Oilcons"
"Germany","2011",97.928
"Italy","2011",64.297
"Netherlands","2011",24.855
"Poland","2011",24.188
"Portugal","2011",10.322
"Romania","2011",8.489
"Spain","2011",53.664
"Sweden","2011",11.219
"United Kingdom","2011",57.417
"Norway","2011",8.964
"Turkey","2011",28.851
"CIS","2011",186.818
"Kazakhstan","2011",10.094
"Russia","2011",139.14
"Ukraine","2011",12.968
"Uzbekistan","2011",3.359
"America","2011",1214.878755397
"North America","2011",866.578
"Canada","2011",105.157
"United States","2011",761.421
"Latin America","2011",348.300755397
"Argentina","2011",30.732
"Brazil","2011",109.253
"Chile","2011",14.236
"Colombia","2011",11.938
"Mexico","2011",89.799
"Venezuela","2011",32.332
"Asia","2011",1109.627377098
"China","2011",419.309
"India","2011",154.464
"Indonesia","2011",69.106
"Japan","2011",185.33
"Malaysia","2011",26.528
"South Korea","2011",88.869
"Taiwan","2011",38.15
"Thailand","2011",43.586
"Pacific","2011",52.032132908
"Australia","2011",44.162
"New Zealand","2011",5.998
"Africa","2011",150.249865411
"Algeria","2011",14.83
"Egypt","2011",33.745
"Nigeria","2011",11.004
"South Africa","2011",25.054
"Middle-East","2011",275.311
"Iran","2011",75.845
"Kuwait","2011",14.884
"Saudi Arabia","2011",88.925
"United Arab Emirates","2011",13.929
"Belgium","2012",20.542
"Czech Rep.","2012",8.449
"France","2012",71.123
"Germany","2012",97.695
"Italy","2012",58.63
"Netherlands","2012",25.29
"Poland","2012",22.885
"Portugal","2012",9.14
"Romania","2012",8.876
"Spain","2012",49.451
"Sweden","2012",10.579
"United Kingdom","2012",56.674
"Norway","2012",8.775
"Turkey","2012",30.963
"CIS","2012",190.687
"Kazakhstan","2012",10.468
"Russia","2012",140.345
"Ukraine","2012",12.735
"Uzbekistan","2012",2.993
"America","2012",1210.364466401
"North America","2012",847.896
"Canada","2012",107.994
"United States","2012",739.902
"Latin America","2012",362.468466401
"Argentina","2012",32.023
"Brazil","2012",115.8
"Chile","2012",14.328
"Colombia","2012",12.287
"Mexico","2012",89.313
"Venezuela","2012",37.179
"Asia","2012",1148.060014694
"China","2012",438.233
"India","2012",164.327
"Indonesia","2012",68.627
"Japan","2012",188.289
"Malaysia","2012",24.905
"South Korea","2012",92.142
"Taiwan","2012",37.841
"Thailand","2012",46.387
"Pacific","2012",52.519732148
"Australia","2012",44.567
"New Zealand","2012",5.96
"Africa","2012",160.467843701
"Algeria","2012",16.268
"Egypt","2012",36.037
"Nigeria","2012",11.68
"South Africa","2012",24.831
"Middle-East","2012",294.202
"Iran","2012",79.551
"Kuwait","2012",15.009
"Saudi Arabia","2012",96.226
"United Arab Emirates","2012",14.308
"Belgium","2013",21.182
"Czech Rep.","2013",8.103
"France","2013",69.722
"Germany","2013",99.657
"Italy","2013",53.277
"Netherlands","2013",24.531
"Poland","2013",21.457
"Portugal","2013",9.183
"Romania","2013",8.228
"Spain","2013",46.751
"Sweden","2013",10.183
"United Kingdom","2013",55.011
"Norway","2013",8.637
"Turkey","2013",32.524
"CIS","2013",186.695
"Kazakhstan","2013",10.961
"Russia","2013",139.737
"Ukraine","2013",12.193
"Uzbekistan","2013",2.845
"America","2013",1207.22171914
"North America","2013",845.032
"Canada","2013",106.177
"United States","2013",738.855
"Latin America","2013",362.18971914
"Argentina","2013",30.961
"Brazil","2013",119.708
"Chile","2013",14.614
"Colombia","2013",12.324
"Mexico","2013",88.481
"Venezuela","2013",33.6
"Asia","2013",1181.958469465
"China","2013",461.197
"India","2013",165.682
"Indonesia","2013",69
"Japan","2013",186.13
"Malaysia","2013",28.396
"South Korea","2013",92.336
"Taiwan","2013",38.632
"Thailand","2013",49.924
"Pacific","2013",55.250512483
"Australia","2013",46.969
"New Zealand","2013",6.04
"Africa","2013",165.893740967
"Algeria","2013",17.203
"Egypt","2013",35.885
"Nigeria","2013",11.426
"South Africa","2013",26.008
"Middle-East","2013",303.767
"Iran","2013",86.629
"Kuwait","2013",16.33
"Saudi Arabia","2013",99.033
"United Arab Emirates","2013",15.676
"Belgium","2014",21.215
"Czech Rep.","2014",8.639
"France","2014",68.27
"Germany","2014",96.875
"Italy","2014",53.646
"Netherlands","2014",24.179
"Poland","2014",21.435
"Portugal","2014",9.027
"Romania","2014",8.407
"Spain","2014",45.417
"Sweden","2014",10.331
"United Kingdom","2014",54.683
"Norway","2014",8.473
"Turkey","2014",32.117
"CIS","2014",198.608
"Kazakhstan","2014",10.607
"Russia","2014",152.508
"Ukraine","2014",10.501
"Uzbekistan","2014",2.664
"America","2014",1218.466039715
"North America","2014",852.441
"Canada","2014",102.187
"United States","2014",750.254
"Latin America","2014",366.025039715
"Argentina","2014",31.358
"Brazil","2014",124.07
"Chile","2014",14.41
"Colombia","2014",12.904
"Mexico","2014",85.181
"Venezuela","2014",33.667
"Asia","2014",1194.873626818
"China","2014",476.337
"India","2014",172.181
"Indonesia","2014",68.819
"Japan","2014",174.018
"Malaysia","2014",29.473
"South Korea","2014",92.944
"Taiwan","2014",39.005
"Thailand","2014",49.898
"Pacific","2014",54.86048796
"Australia","2014",46.523
"New Zealand","2014",6.189
"Africa","2014",168.395796094
"Algeria","2014",17.962
"Egypt","2014",38.474
"Nigeria","2014",10.228
"South Africa","2014",25.096
"Middle-East","2014",305.982
"Iran","2014",84.342
"Kuwait","2014",14.969
"Saudi Arabia","2014",106.803
"United Arab Emirates","2014",16.537
"Belgium","2015",22.193
"Czech Rep.","2015",8.492
"France","2015",68.185
"Germany","2015",96.813
"Italy","2015",54.153
"Netherlands","2015",23.877
"Poland","2015",22.732
"Portugal","2015",9.144
"Romania","2015",8.595
"Spain","2015",47.863
"Sweden","2015",9.999
"United Kingdom","2015",56.539
"Norway","2015",8.872
"Turkey","2015",37.473
"CIS","2015",198.169
"Kazakhstan","2015",12.429
"Russia","2015",151.767
"Ukraine","2015",9.859
"Uzbekistan","2015",2.584
"America","2015",1214.505875787
"North America","2015",861.991
"Canada","2015",102.182
"United States","2015",759.809
"Latin America","2015",352.514875787
"Argentina","2015",32.624
"Brazil","2015",115.53
"Chile","2015",14.366
"Colombia","2015",12.578
"Mexico","2015",83.583
"Venezuela","2015",28.628
"Asia","2015",1246.937268593
"China","2015",507.199
"India","2015",191.301
"Indonesia","2015",65.709
"Japan","2015",170.431
"Malaysia","2015",27.238
"South Korea","2015",97.743
"Taiwan","2015",39.974
"Thailand","2015",49.477
"Pacific","2015",54.168649636
"Australia","2015",45.818
"New Zealand","2015",6.332
"Africa","2015",173.829541111
"Algeria","2015",18.193
"Egypt","2015",39.333
"Nigeria","2015",11.16
"South Africa","2015",26.293
"Middle-East","2015",293.284
"Iran","2015",72.539
"Kuwait","2015",15.354
"Saudi Arabia","2015",115.166
"United Arab Emirates","2015",15.085
"Belgium","2016",22.078971052
"Czech Rep.","2016",7.860483893
"France","2016",66.667910701
"Germany","2016",98.259981124
"Italy","2016",54.130134811
"Netherlands","2016",24.146697238
"Poland","2016",25.260874043
"Portugal","2016",8.764146916
"Romania","2016",9.18208744
"Spain","2016",49.420753666
"Sweden","2016",10.321548387
"United Kingdom","2016",57.703043535
"Norway","2016",8.835816471
"Turkey","2016",40.381845168
"CIS","2016",204.193784965
"Kazakhstan","2016",12.488732717
"Russia","2016",156.80995961
"Ukraine","2016",10.470588657
"Uzbekistan","2016",2.382347736
"America","2016",1215.131284997
"North America","2016",868.631459405
"Canada","2016",102.871257552
"United States","2016",765.760201853
"Latin America","2016",346.499825592
"Argentina","2016",32.073537397
"Brazil","2016",109.038643506
