"Industry","Fuel Used","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Miscellaneous industrial/commercial combustion","Natural gas",0.1,0.13,0.11,0.12,0.11,0.12,"0.13",0.11,0.12,0.13
"Miscellaneous industrial/commercial combustion","Natural gas",0.07,0.09,0.07,0.08,0.07,0.09,"0.09",0.08,0.09,0.09
"Miscellaneous industrial/commercial combustion","Natural gas",0.38,0.48,0.38,0.42,0.36,0.42,"0.44",0.37,0.41,0.42
"Miscellaneous industrial/commercial combustion","Natural gas",0.72,0.91,0.72,0.78,0.67,0.77,"0.79",0.67,0.72,0.75
"Miscellaneous industrial/commercial combustion","Natural gas",0.05,0.06,0.05,0.05,0.05,0.05,"0.05",0.05,0.05,0.05
"Miscellaneous industrial/commercial combustion","Natural gas",0.05,0.07,0.06,0.06,0.05,0.06,"7.0000000000000007E-2",0.06,0.06,0.07
"Miscellaneous industrial/commercial combustion","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Miscellaneous industrial/commercial combustion","Natural gas",0.04,0.05,0.04,0.04,0.03,0.04,"0.04",0.03,0.03,0.03
"Miscellaneous industrial/commercial combustion","Natural gas",0.06,0.07,0.06,0.07,0.06,0.08,"0.08",0.07,0.08,0.08
"Miscellaneous industrial/commercial combustion","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Miscellaneous industrial/commercial combustion","Natural gas",0.18,0.23,0.19,0.2,0.18,0.2,"0.21",0.18,0.2,0.2
"Miscellaneous industrial/commercial combustion","Natural gas",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Miscellaneous industrial/commercial combustion","Natural gas",0.05,0.06,0.05,0.05,0.04,0.05,"0.05",0.04,0.04,0.05
"Miscellaneous industrial/commercial combustion","Natural gas",0.06,0.08,0.06,0.07,0.06,0.07,"7.0000000000000007E-2",0.06,0.07,0.07
"Miscellaneous industrial/commercial combustion","Natural gas",0.11,0.13,0.1,0.1,0.08,0.09,"0.09",0.07,0.08,0.07
"Miscellaneous industrial/commercial combustion","Natural gas",0.09,0.12,0.09,0.1,0.09,0.1,"0.11",0.09,0.1,0.1
"Miscellaneous industrial/commercial combustion","Natural gas",0.08,0.11,0.08,0.09,0.08,0.09,"0.09",0.07,0.08,0.08
"Miscellaneous industrial/commercial combustion","Natural gas",0.02,0.03,0.03,0.03,0.02,0.03,"0.03",0.03,0.03,0.03
"Miscellaneous industrial/commercial combustion","Natural gas",0.05,0.07,0.06,0.06,0.06,0.07,"7.0000000000000007E-2",0.06,0.07,0.07
"Miscellaneous industrial/commercial combustion","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
