"Industry","Fuel Used","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Industrial off-road mobile machinery","Gas oil",0.06,0.06,0.05,0.05,0.04,0.05,"0.04",0.04,0.05,0.04
"Industrial off-road mobile machinery","Gas oil",0.02,0.02,0.02,0.02,0.01,0.02,"0.01",0.01,0.02,0.01
"Industrial off-road mobile machinery","Gas oil",0.02,0.02,0.02,0.02,0.01,0.02,"0.01",0.01,0.02,0.02
"Industrial off-road mobile machinery","Gas oil",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Gas oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Gas oil",0.02,0.02,0.02,0.02,0.01,0.02,"0.02",0.02,0.02,0.02
"Industrial off-road mobile machinery","Gas oil",0.03,0.03,0.02,0.02,0.02,0.03,"0.02",0.02,0.03,0.02
"Industrial off-road mobile machinery","Gas oil",0.03,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Industrial off-road mobile machinery","Gas oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Petrol",0.06,0.06,0.05,0.06,0.06,0.05,"0.05",0.06,0.06,0.06
"Industrial off-road mobile machinery","Petrol",0.05,0.05,0.04,0.05,0.05,0.04,"0.04",0.05,0.05,0.05
"Industrial off-road mobile machinery","Petrol",0.09,0.09,0.08,0.09,0.09,0.08,"0.08",0.09,0.1,0.1
"Shipping - naval","Gas oil",0.3,0.29,0.29,0.3,0.27,0.25,"0.23",0.19,0.15,0.15
"Ammonia production - feedstock use of gas","Natural gas",0.1,0.08,0.08,0.08,0.03,0.07,"7.0000000000000007E-2",0.07,0.08,0.01
"Iron and steel - flaring","Blast furnace gas",0.18,0.2,0.06,0.11,0.09,0.07,"0.18",0.16,0.16,0.08
"Iron and steel - flaring","Coke oven gas",0.04,0.04,0.01,0.05,0.07,0.02,"0.03",0.06,0.07,0.02
"Shipping - international IPCC definition","Fuel oil",4.31,4.64,3.79,3.96,4.46,3.47,"2.65",3.4,3.74,3.69
"Shipping - international IPCC definition","Gas oil",1.18,0.94,0.89,1.03,1.02,0.87,"0.89",1.02,1.19,1.36
"Railways - intercity","Gas oil",0.22,0.22,0.22,0.22,0.22,0.22,"0.22",0.22,0.22,0.22
"Railways - regional","Gas oil",0.24,0.24,0.24,0.24,0.24,0.24,"0.25",0.25,0.25,0.25
"Railways - freight","Gas oil",0.2,0.19,0.19,0.19,0.19,0.21,"0.2",0.2,0.2,0.19
"Aircraft - domestic take off and landing","Aviation spirit",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Aircraft - domestic take off and landing","Aviation turbine fuel",0.19,0.18,0.15,0.14,0.13,0.13,"0.13",0.12,0.12,0.12
"Upstream oil and gas production - combustion at gas separation plant","LPG",0.02,0.02,0.02,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Upstream oil and gas production - combustion at gas separation plant","OPG",0.38,0.39,0.39,0.35,0.33,0.28,"0.26",0.25,0.26,0.29
"Aircraft - domestic cruise","Aviation turbine fuel",0.59,0.56,0.5,0.46,0.44,0.42,"0.43",0.39,0.4,0.38
"Aircraft - international cruise","Aviation turbine fuel",13.24,13.2,12.62,12.31,13.01,12.56,"12.48",12.52,12.67,12.67
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.03,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - rural driving","Petrol",0.03,0.02,0.02,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.07,0.06,0.05,0.05,0.04,0.03,"0.03",0.03,0.03,0.02
"Road transport - cars - rural driving","Petrol",0.03,0.02,0.02,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.16,0.17,0.17,0.18,0.18,0.18,"0.18",0.19,0.2,0.22
"Road transport - cars - rural driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.02,0.02,0.02,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","Petrol",6.62,6.24,5.86,5.5,5.24,5.02,"4.87",4.71,4.55,4.47
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - rural driving","DERV",0.02,0.02,0.01,0.01,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.04,0.04,0.03,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Road transport - cars - rural driving","DERV",0.03,0.04,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Road transport - cars - rural driving","DERV",0.09,0.09,0.07,0.07,0.07,0.07,"0.06",0.07,0.06,0.06
"Road transport - cars - rural driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Road transport - cars - rural driving","DERV",0.01,0.02,0.01,0.01,0.01,0.02,"0.01",0.02,0.01,0.02
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.17,0.17,0.18,0.18,0.18,0.18,"0.18",0.19,0.2,0.21
"Road transport - cars - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.02,0.02,0.01,0.01,0.02,0.02,"0.01",0.02,0.01,0.02
"Road transport - cars - rural driving","DERV",0.01,0.02,0.01,0.01,0.01,0.02,"0.01",0.01,0.01,0.02
"Road transport - cars - rural driving","DERV",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.01",0.02,0.02,0.02
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.02,0.02,0.01,0.01,0.01,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.02",0.02,0.02,0.02
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - rural driving","DERV",2.44,2.59,2.77,2.9,3.06,3.22,"3.42",3.64,3.96,4.2
"Road transport - LGVs - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","Petrol",0.02,0.02,0.02,0.02,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","Petrol",0.02,0.02,0.02,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.06,0.06,0.06,0.06,0.06,0.06,"0.06",0.06,0.07,0.07
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.04,0.04
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.06,0.06,0.06,0.06,0.06,0.06,"0.06",0.07,0.07,0.08
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.03,0.03
"Road transport - LGVs - rural driving","DERV",0.07,0.06,0.06,0.06,0.06,0.06,"7.0000000000000007E-2",0.07,0.08,0.08
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.02,0.02,0.02
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.14,0.14,0.14,0.14,0.14,0.14,"0.15",0.16,0.17,0.18
"Road transport - LGVs - rural driving","DERV",0.16,0.15,0.15,0.15,0.14,0.14,"0.15",0.15,0.16,0.17
"Road transport - LGVs - rural driving","DERV",0.29,0.28,0.28,0.3,0.3,0.3,"0.31",0.33,0.35,0.38
"Road transport - LGVs - rural driving","DERV",0.12,0.11,0.11,0.12,0.12,0.12,"0.12",0.13,0.14,0.15
"Road transport - LGVs - rural driving","DERV",0.15,0.15,0.15,0.15,0.15,0.15,"0.16",0.17,0.18,0.19
"Road transport - LGVs - rural driving","DERV",0.1,0.1,0.1,0.1,0.1,0.1,"0.1",0.11,0.12,0.12
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.13,0.13,0.13,0.13,0.13,0.13,"0.14000000000000001",0.14,0.15,0.16
"Road transport - LGVs - rural driving","DERV",0.1,0.09,0.09,0.09,0.09,0.09,"0.1",0.1,0.11,0.12
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.08,0.08,0.08,0.08,0.08,0.08,"0.09",0.09,0.1,0.1
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.03
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.03
"Road transport - LGVs - rural driving","DERV",0.03,0.03,0.02,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Road transport - LGVs - rural driving","DERV",0.06,0.06,0.06,0.06,0.06,0.06,"0.06",0.07,0.07,0.08
"Road transport - LGVs - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - rural driving","DERV",0.23,0.22,0.22,0.23,0.23,0.23,"0.24",0.25,0.27,0.29
"Road transport - buses and coaches - rural driving","DERV",0.38,0.35,0.35,0.35,0.32,0.3,"0.31",0.31,0.3,0.28
"Road transport - HGV articulated - rural driving","DERV",0.01,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV articulated - rural driving","DERV",0.07,0.1,0.14,0.15,0.15,0.15,"0.15",0.15,0.16,0.16
"Road transport - HGV articulated - rural driving","DERV",0.13,0.12,0.15,0.13,0.12,0.12,"0.12",0.13,0.13,0.14
"Road transport - HGV articulated - rural driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Road transport - HGV articulated - rural driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Road transport - HGV articulated - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.02
"Road transport - HGV articulated - rural driving","DERV",1.16,1.04,0.9,0.92,0.9,0.9,"0.89",0.91,0.96,0.98
"Road transport - HGV articulated - rural driving","DERV",0.02,0.03,0.03,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Road transport - HGV rigid - rural driving","DERV",0.01,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - rural driving","DERV",0.1,0.1,0.09,0.1,0.09,0.09,"0.09",0.09,0.1,0.1
"Road transport - HGV rigid - rural driving","DERV",0.03,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - rural driving","DERV",0.03,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - rural driving","DERV",0.05,0.05,0.04,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Road transport - HGV rigid - rural driving","DERV",0.02,0.02,0.02,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.23,0.2,0.25,0.27,0.26,0.26,"0.26",0.26,0.27,0.28
"Road transport - HGV rigid - rural driving","DERV",0.06,0.06,0.08,0.07,0.06,0.06,"0.06",0.06,0.07,0.07
"Road transport - HGV rigid - rural driving","DERV",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - rural driving","DERV",0.55,0.5,0.41,0.4,0.39,0.38,"0.38",0.38,0.4,0.41
"Road transport - HGV rigid - rural driving","DERV",0.02,0.03,0.03,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Road transport - HGV rigid - rural driving","DERV",0.04,0.03,0.03,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - rural driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - motorcycle (>50cc  4st) - rural driving","Petrol",0.08,0.08,0.08,0.07,0.07,0.07,"7.0000000000000007E-2",0.07,0.07,0.07
"Road transport - cars - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.03,0.03,0.03,0.03,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - urban driving","Petrol",0.03,0.03,0.02,0.02,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.08,0.07,0.06,0.05,0.05,0.04,"0.03",0.03,0.03,0.03
"Road transport - cars - urban driving","Petrol",0.03,0.03,0.02,0.02,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.18,0.19,0.2,0.2,0.2,0.21,"0.2",0.22,0.23,0.25
"Road transport - cars - urban driving","Petrol",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.02,0.02,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.02,0.03,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","Petrol",7.65,7.23,6.77,6.24,6,5.8,"5.52",5.45,5.36,5.28
"Road transport - cars - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.01,0.02
"Road transport - cars - urban driving","DERV",0.02,0.02,0.01,0.01,0.01,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.03,0.04,0.03,0.03,0.04,0.04,"0.03",0.04,0.03,0.04
"Road transport - cars - urban driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.02,0.03
"Road transport - cars - urban driving","DERV",0.08,0.08,0.07,0.07,0.07,0.07,"0.06",0.06,0.05,0.06
"Road transport - cars - urban driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.02",0.03,0.02,0.02
"Road transport - cars - urban driving","DERV",0.01,0.02,0.01,0.01,0.01,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.16,0.17,0.17,0.18,0.18,0.18,"0.17",0.17,0.17,0.18
"Road transport - cars - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.01,0.01,0.01,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.01,0.02,0.01,0.01,0.01,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - urban driving","DERV",0.02,0.02,0.01,0.02,0.02,0.02,"0.01",0.02,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.01,0.01,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.02",0.02,0.02,0.02
"Road transport - cars - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.01,0.01
"Road transport - cars - urban driving","DERV",2.41,2.46,2.66,2.77,2.91,3.11,"3.28",3.3,3.39,3.57
"Road transport - LGVs - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","Petrol",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","Petrol",0.03,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.01,0.01
"Road transport - LGVs - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","Petrol",0.02,0.02,0.02,0.02,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.05,0.05,0.05,0.05,0.05,0.05,"0.05",0.05,0.06,0.06
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.05,0.05,0.05,0.05,0.05,0.05,"0.05",0.05,0.06,0.06
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
