"Country","Year","NGCons"
"China","2010",106.366054437
"India","2010",64.063065592
"Indonesia","2010",43.526413473
"Japan","2010",110.043366582
"Malaysia","2010",37.296392961
"South Korea","2010",43.309121463
"Taiwan","2010",14.642172217
"Thailand","2010",42.134948276
"Pacific","2010",39.601896368
"Australia","2010",34.774671623
"New Zealand","2010",4.707224744
"Africa","2010",106.462522608
"Algeria","2010",27.378609333
"Egypt","2010",43.839309681
"Nigeria","2010",10.785622676
"South Africa","2010",4.743002666
"Middle-East","2010",375.995670053
"Iran","2010",144.420568527
"Kuwait","2010",14.523
"Saudi Arabia","2010",73.330070184
"United Arab Emirates","2010",60.781087129
"Belgium","2011",17.85539809
"Czech Rep.","2011",8.487915344
"France","2011",43.945559998
"Germany","2011",85.587685843
"Italy","2011",77.916988385
"Netherlands","2011",47.95645772
"Poland","2011",16.931423251
"Portugal","2011",5.175244098
"Romania","2011",13.889947456
"Spain","2011",33.250527154
"Sweden","2011",1.314828324
"United Kingdom","2011",82.615859066
"Norway","2011",5.842979626
"Turkey","2011",44.685637092
"CIS","2011",673.572616451
"Kazakhstan","2011",26.786586742
"Russia","2011",476.181977505
"Ukraine","2011",58.216496115
"Uzbekistan","2011",51.040011613
"America","2011",1017.848235113
"North America","2011",796.957992446
"Canada","2011",105.533153149
"United States","2011",691.424839297
"Latin America","2011",220.890242668
"Argentina","2011",48.458499025
"Brazil","2011",27.496143809
"Chile","2011",5.70300252
"Colombia","2011",10.015538243
"Mexico","2011",70.949016249
"Venezuela","2011",24.03400758
"Asia","2011",594.831284752
"China","2011",131.322379834
"India","2011",64.45852682
"Indonesia","2011",41.030247564
"Japan","2011",127.639167244
"Malaysia","2011",37.521807411
"South Korea","2011",46.687514834
"Taiwan","2011",16.01500037
"Thailand","2011",39.37298061
"Pacific","2011",39.783643797
"Australia","2011",35.348049256
"New Zealand","2011",4.325594541
"Africa","2011",115.795145335
"Algeria","2011",29.639714053
"Egypt","2011",47.78314908
"Nigeria","2011",15.008258418
"South Africa","2011",4.707552083
"Middle-East","2011",395.595524666
"Iran","2011",152.780361087
"Kuwait","2011",16.993
"Saudi Arabia","2011",74.688040295
"United Arab Emirates","2011",62.887064775
"Belgium","2012",17.937767548
"Czech Rep.","2012",8.38866098
"France","2012",43.329461442
"Germany","2012",85.575903227
"Italy","2012",74.915019674
"Netherlands","2012",45.557954102
"Poland","2012",18.033255395
"Portugal","2012",4.490780661
"Romania","2012",13.53241606
"Spain","2012",32.398574995
"Sweden","2012",1.177660124
"United Kingdom","2012",78.63993371
"Norway","2012",5.677392783
"Turkey","2012",45.254144959
"CIS","2012",665.741171712
"Kazakhstan","2012",25.234959733
"Russia","2012",471.06364112
"Ukraine","2012",53.420469482
"Uzbekistan","2012",52.709994985
"America","2012",1062.696194033
"North America","2012",831.604994997
"Canada","2012",105.261004446
"United States","2012",726.343990551
"Latin America","2012",231.091199036
"Argentina","2012",49.983717029
"Brazil","2012",32.217720523
"Chile","2012",4.881453269
"Colombia","2012",10.386853514
"Mexico","2012",74.130070008
"Venezuela","2012",24.969978755
"Asia","2012",620.18992267
"China","2012",147.311132981
"India","2012",57.255639742
"Indonesia","2012",40.841736935
"Japan","2012",132.510245386
"Malaysia","2012",38.418393637
"South Korea","2012",50.58367567
"Taiwan","2012",15.182471909
"Thailand","2012",44.988038175
"Pacific","2012",41.243541277
"Australia","2012",36.626302259
"New Zealand","2012",4.507239018
"Africa","2012",121.787447367
"Algeria","2012",33.756248584
"Egypt","2012",47.904562404
"Nigeria","2012",15.445980823
"South Africa","2012",4.950656839
"Middle-East","2012",411.457978649
"Iran","2012",151.781805831
"Kuwait","2012",18.165
"Saudi Arabia","2012",81.092032063
"United Arab Emirates","2012",66.050608984
"Belgium","2013",18.153317371
"Czech Rep.","2013",8.44348341
"France","2013",45.627677475
"Germany","2013",87.529555894
"Italy","2013",70.069013828
"Netherlands","2013",46.073856499
"Poland","2013",18.022212849
"Portugal","2013",4.263965184
