"Year","Gasoline","Natural Gas"
"2007","36.600000000000001","25.5"
"2008","35.899999999999999","26.600000000000001"
"2009","34.899999999999999","25.300000000000001"
"2010","34.299999999999997","25.699999999999999"
"2011","33.799999999999997","25.699999999999999"
"2012","34","25.300000000000001"
"2013","34.100000000000001","25.300000000000001"
"2014","33.899999999999999","25.399999999999999"
"2015","34.899999999999999","26.100000000000001"
"2016","35.5","26.699999999999999"
